University,Canton
Zürcher Fachhochschule (ohne PH) - ZFH,ZH
Forschungsanstalten Agroscope - AGS,ZH
Physikal.-Meteorolog. Observatorium Davos - PMOD,GR
Swiss Institute of Bioinformatics - SIB,VD
Weitere Institute - FINST,BS
AO Research Institute - AORI,GR
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,VD
Pädagogische Hochschule Wallis - PHVS,VS
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,TI
Staatsunabh. Theologische Hochschule Basel - STHB,BS
Inst. de Hautes Etudes Internat. et du Dév - IHEID,GE
ETH Zürich - ETHZ,ZH
Université de Neuchâtel - NE,NE
Universität Bern - BE,BE
Université de Lausanne - LA,VD
Université de Genève - GE,GE
Universität Zürich - ZH,ZH
Université de Fribourg - FR,FR
Universität Basel - BS,BS
Friedrich Miescher Institute - FMI,BS
EPF Lausanne - EPFL,VD
Paul Scherrer Institut - PSI,AG
Università della Svizzera italiana - USI,TI
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",ZH
Eidg. Anstalt für Wasserversorgung - EAWAG,ZH
Centre de rech. sur l'environnement alpin - CREALP,VS
SUP della Svizzera italiana - SUPSI,TI
Universität Luzern - LU,LU
HES de Suisse occidentale - HES-SO,JU
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,SO
Berner Fachhochschule - BFH,BE
Hochschule Luzern - HSLU,LU
Fachhochschule Ostschweiz - FHO,SG
Interkant. Hochschule für Heilpädagogik ZH - HfH,ZH
Eidg. Material und Prüfungsanstalt - EMPA,SG
Kantonsspital St. Gallen - KSPSG,SG
Universität St. Gallen - SG,SG
Inst. Suisse de Spéléologie et Karstologie - ISSKA,NE
Ente Ospedaliero Cantonale - EOC,TI
Inst. universit. romand de Santé au Travail - IST,VD
Idiap Research Institute - IDIAP,VS
Allergie- und Asthmaforschung - SIAF,GR
Haute école pédagogique fribourgeoise - HEPFR,FR
Pädagogische Hochschule Schwyz - PHSZ,SZ
Pädagogische Hochschule Luzern - PHLU,LU
Pädagogische Hochschule Zürich - PHZFH,ZH
Pädagogische Hochschule Thurgau - PHTG,TG
Biotechnologie Institut Thurgau - BITG,TG
Pädagogische Hochschule St. Gallen - PHSG,SG
Haute école pédagogique du canton de Vaud - HEPL,VD
Swiss Center for Electronics and Microtech. - CSEM,NE
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",JU
Fachhochschule Kalaidos - FHKD,ZH
Forschungsinstitut für Opthalmologie - IRO,VS
Institut für Kulturforschung Graubünden - IKG,GR
Pädagogische Hochschule Bern - PHBern,BE
Pädagogische Hochschule Zug - PHZG,ZG
Institut Universitaire Kurt Bösch - IUKB,VS
Pädagogische Hochschule Graubünden - PHGR,GR
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,ZH
Pädagogische Hochschule Schaffhausen - PHSH,SH
Schweizer Paraplegiker Forschung - SPF,LU
Eidg. Hochschulinstitut für Berufsbildung - EHB,BE
Forschungsinstitut für biologischen Landbau - FIBL,AG
Franklin University Switzerland - FUS,TI
Facoltà di Teologia di Lugano - FTL,TI
Schweiz. Hochschule für Logopädie Rorschach - SHLR,SG
Pädagogische Hochschule Nordwestschweiz - PHFHNW,SO
Instituto Ricerche Solari Locarno - IRSOL,TI
