,playerShort,yellowReds,goals,birthday,ties,leagueCountry,black,defeats,weight,victories,height,meanExp,yellowCards,games,redCards,position,meanIAT,club
0,0,0,9,08.11.1979,179,0,0,228,71.0,247,182.0,0.49457483782317285,19,654,0,1,0.34645913229080155,34
1,1,0,62,04.09.1986,73,2,0,122,73.0,141,183.0,0.44922021689199154,42,336,1,0,0.34881834790125466,91
2,2,0,31,16.04.1987,97,0,0,115,63.0,200,165.0,0.49148178895621647,11,412,0,10,0.34589293093477363,83
3,3,0,39,26.12.1990,42,0,0,68,76.0,150,178.0,0.5146933609545438,31,260,1,3,0.3468212962922435,6
4,4,4,1,17.03.1990,40,1,0,43,73.0,41,180.0,0.33558723401949186,8,124,2,1,0.33159954474135706,51
5,5,1,3,17.01.1988,23,1,1,33,74.0,41,180.0,0.2965622807696765,11,97,0,10,0.32007881965619894,36
6,6,0,0,30.03.1992,8,1,1,8,80.0,8,189.0,0.40081849834653027,0,24,0,5,0.34162499313708594,80
7,7,0,0,19.08.1990,1,1,1,2,83.0,0,188.0,0.41722539905933453,0,3,0,5,0.35540553213656745,36
8,8,0,3,20.03.1990,25,1,1,62,68.0,34,180.0,0.429630272215213,21,121,2,4,0.34817825822102294,78
9,9,0,0,02.07.1994,8,2,1,25,70.0,17,179.0,0.36106849149744147,3,50,1,6,0.3420724539098491,77
10,10,0,0,11.11.1992,8,0,1,12,78.0,16,180.0,0.5364080241452557,2,36,0,3,0.3545657236856301,48
11,11,3,25,06.01.1985,61,3,0,92,78.0,93,185.0,0.5491047346378064,70,246,2,4,0.3591832730484047,23
12,12,1,14,19.06.1989,25,3,0,32,78.0,28,185.0,0.3992371516046735,11,85,1,12,0.3415413408561621,35
13,13,0,21,11.05.1986,51,0,1,48,75.0,109,188.0,0.4228672937756214,24,208,2,3,0.33690646367594534,6
14,14,1,9,07.09.1985,63,2,0,60,79.0,88,184.0,0.3359668924003007,66,211,0,4,0.3366281626427213,33
15,15,0,2,01.01.1995,5,0,0,9,,6,168.0,0.3899783485430745,1,20,0,12,0.33324617116888755,53
16,16,0,1,31.01.1985,54,0,0,69,90.0,83,188.0,0.38015738398940435,4,206,0,5,0.3302501290261906,63
17,17,0,13,20.12.1988,34,2,0,51,76.0,46,188.0,0.4985351624324135,21,131,0,7,0.3647717985511291,0
18,18,0,55,14.07.1987,68,0,0,126,62.0,145,175.0,0.41879654529946037,21,339,0,7,0.3388060918208238,82
19,19,0,1,21.04.1994,7,0,0,8,,8,179.0,0.4481018507040751,0,23,0,12,0.3469971491480931,45
20,20,1,1,12.06.1988,18,3,0,36,76.0,28,190.0,0.6300617653708416,14,82,1,1,0.3654168470232095,70
21,21,2,4,29.04.1991,31,0,0,45,73.0,55,173.0,0.3884808498644213,29,131,1,9,0.33152890837165855,50
22,22,1,51,09.12.1987,40,2,0,59,87.0,83,193.0,0.4530658399990563,18,182,0,2,0.34779115733942184,1
23,23,0,0,13.05.1987,6,3,0,16,88.0,22,190.0,0.5838489595557421,1,44,1,5,0.3691843912066443,66
24,24,1,41,24.05.1989,56,0,0,86,78.0,67,180.0,0.33556376213315464,23,209,0,7,0.3264780431914264,60
25,25,2,20,27.12.1985,71,3,0,71,88.0,144,190.0,0.49204746221963663,59,286,3,1,0.3545386081835976,87
26,26,1,39,17.11.1984,43,3,0,82,69.0,53,171.0,0.5769928507686437,22,178,0,2,0.36567878026938894,35
27,27,2,178,08.01.1979,120,1,0,134,74.0,199,180.0,0.5336911175196776,90,453,3,8,0.36415052512831425,3
28,28,0,60,08.01.1988,62,3,0,87,73.0,145,183.0,0.517617733147926,16,294,0,2,0.35704798313920855,10
29,29,0,0,21.05.1983,11,3,0,8,82.0,10,188.0,0.5882973115445439,3,29,0,5,0.3698935941871719,73
30,30,1,33,26.10.1984,59,3,0,85,67.0,229,172.0,0.5715225830763536,58,373,3,7,0.3584279085662786,29
31,31,0,6,03.04.1995,14,1,0,10,71.0,42,188.0,0.4550012282320264,11,66,0,4,0.3429196009968158,59
32,32,3,105,11.02.1981,82,3,0,115,78.0,125,182.0,0.5664796113661448,68,322,4,2,0.36366579245974384,9
33,33,0,52,24.02.1987,62,3,0,60,77.0,78,187.0,0.6105430475250234,8,200,0,2,0.3707913204352421,68
34,34,1,5,28.06.1985,40,1,0,65,78.0,61,185.0,0.32913133647454706,38,166,0,12,0.32795884772750766,78
35,35,0,4,24.09.1993,1,2,0,8,69.0,6,179.0,0.33596689240030114,1,15,0,0,0.3366281626427209,2
36,36,0,31,31.12.1988,42,1,1,49,66.0,39,176.0,0.31011437839422457,17,130,1,7,0.33263911263521717,30
37,37,2,3,18.01.1984,68,1,0,97,74.0,70,180.0,0.2675390770696175,61,235,1,4,0.3087738123035892,30
38,38,0,3,10.03.1993,10,1,1,13,65.0,10,180.0,0.42988580597677967,0,33,0,12,0.3421303059859299,57
39,39,3,11,01.09.1977,139,3,0,130,77.0,292,181.0,0.5261770732197991,197,561,6,4,0.3567692610673432,87
40,40,0,4,27.01.1989,50,3,0,70,82.0,51,186.0,0.5516471634542992,69,171,3,1,0.3617931558115827,75
41,41,0,1,19.12.1990,3,3,0,9,68.0,5,177.0,0.5882973115445439,1,17,0,12,0.3698935941871721,62
42,42,2,11,03.03.1982,52,1,0,46,68.0,77,170.0,0.4204800212810545,39,175,1,10,0.3471950740755243,5
